model,roc_auc,accuracy,precision,recall,f1,f1_macro,train_time,confusion_matrix
BernoulliNB,0.7782088542544816,0.7048993233879514,0.21310691222195646,0.7297297297297297,0.32987782302850793,0.5703330156330079,0.040152788162231445,"[[7756 3290]
 [ 330  891]]"
MultinomialNB,0.760715816799467,0.7873970816010435,0.26483553747032895,0.6396396396396397,0.37458033573141486,0.6232555970544719,0.011296749114990234,"[[8878 2168]
 [ 440  781]]"
GaussianNB,0.7240956699131603,0.8701393983859135,0.34102564102564104,0.32678132678132676,0.3337515683814304,0.6309050485180421,0.045747995376586914,"[[10275   771]
 [  822   399]]"
