config,roc_auc,accuracy,precision,recall,f1,f1_macro,train_time,n_trees,avg_depth,avg_leaves
OPTIMIZED,0.7961434631099977,0.8669220112460272,0.35025062656641603,0.48398268398268396,0.4063976735732461,0.6657292392463541,4.000223875045776,300,23.28,851.3133333333334
DEPTH_CONTROL,0.7944050072513548,0.912069106022329,0.6596638655462185,0.13593073593073593,0.22541277817659727,0.5894008467322573,1.2862739562988281,100,19.89,535.92
LARGE_ENSEMBLE,0.7809865736997798,0.9107652188085731,0.5986842105263158,0.15757575757575756,0.249485949280329,0.6010242205787341,5.092087030410767,300,32.513333333333335,2874.5066666666667
BALANCED,0.773457159369358,0.9080759514302013,0.6956521739130435,0.04155844155844156,0.0784313725490196,0.5150283631764739,1.4963393211364746,100,39.1,3410.57
BASELINE,0.7731283949348001,0.9106837258577133,0.5936507936507937,0.1619047619047619,0.254421768707483,0.6034591506505516,1.716444969177246,100,32.57,2879.19
