feature,importance
stop_event_rate,0.131654077532869
stop_density,0.12049547526728768
stop_event_count,0.09328010063636889
stop_total_samples,0.07404116726650702
stop_hist_conversion_rate,0.04956943768158862
stop_hist_count,0.03357172103125601
stop_rate_per_sample,0.028247287025290776
stop_recency_days,0.020207378113950625
headway_x_hour,0.020064021327852587
stop_dist_mean,0.018109080636924207
stop_headway_mean,0.017303094623349332
device_lon,0.017119179383261646
hour_sin,0.016866858601335365
hour,0.01682813695576907
stop_dist_std,0.01666369294710735
user_frequency,0.016535834817883968
Unnamed: 0,0.015783869890801907
headway_avg_stop_hour,0.015523425827600388
stop_recency_score,0.015516789510005265
stop_lon_event,0.01534858198503355
int64_field_0,0.015339736139376453
device_lat,0.015227090533798303
user_stop_interaction,0.015021357441231587
dist_device_stop,0.014939038357354342
stop_headway_std,0.014592360511231322
geo_distance,0.014466485082772467
stop_lat_event,0.014257831422756611
time_hour,0.012655287197791049
hour_weekday_interaction,0.010912264451932826
hour_cos,0.010302080032855683
time_period,0.009849799765987955
day_of_month,0.009493180066212534
time_day_of_month,0.009185938949222454
user_recency_days,0.007805612770946294
user_recency_score,0.0076388455110401815
user_hist_conversion_rate,0.007567132707702894
distance_from_peak,0.0069630462726328005
time_day_of_week,0.00619423977715257
day_of_week,0.00618530066990839
user_hist_count,0.005987840292783973
day_sin,0.005845321442021981
headway_x_weekend,0.005400587169663611
dist_x_weekend,0.00512716660888539
dist_x_peak,0.004206198479336939
day_cos,0.003550436474485811
is_peak_hour,0.0015944024889154424
month,0.0015312668422025385
is_weekend,0.0014837237360489789
month_cos,0.0013727799728938629
month_sin,0.001292999007175841
time_month,0.0012656359146246512
is_holiday,1.5802847011007396e-05
stop_line_interaction,0.0
direction,0.0
ctm_service_route,0.0
y_pred_proba,0.0
line_hist_count,0.0
y_pred,0.0
line_hist_conversion_rate,0.0
user_line_interaction,0.0
