config,cv_mean,cv_std,roc_auc,accuracy,precision,recall,f1,f1_macro,train_time
BASELINE,0.785999639335084,0.016543162393085568,0.7943197294664451,0.8545350827153452,0.3243688254665203,0.5161572052401747,0.39838220424671383,0.6578237788325111,4.141390800476074
OPTIMIZED,0.7992310356523682,0.013495889989104544,0.8083189225128284,0.85950615271779,0.33708497467642096,0.5231441048034935,0.40999315537303216,0.6651260873997445,5.395618677139282
