config,model_type,kernel,roc_auc,accuracy,precision,recall,f1,f1_macro,train_time
LINEAR_SVC,LinearSVC,linear,0.7612502987651043,0.9073787199347737,0.640625,0.10336134453781512,0.17800289435600578,0.5644636901363578,3.9521968364715576
SVC_RBF,SVC,rbf,0.5954308477341276,0.9028944150020384,0.0,0.0,0.0,0.47448476798491795,117.57294201850891
SVC_POLY,SVC,poly,0.43674359314832023,0.9031390134529148,0.625,0.004201680672268907,0.008347245409015025,0.47871502507035696,78.6188497543335
SVC_LINEAR,SVC,linear,0.35503287364607244,0.9029759478189971,0.0,0.0,0.0,0.4745072836332476,47.83631229400635
