config,roc_auc,accuracy,precision,recall,f1,f1_macro,train_time,n_nodes,max_depth,n_leaves
MIN_SAMPLES_SPLIT_100,0.7465825062904566,0.9040280495759948,0.49160671462829736,0.1752136752136752,0.258349086326402,0.6035217817317028,0.7557370662689209,847,22,424
OPTIMIZED,0.7390622327615297,0.7255381604696673,0.20388349514563106,0.6461538461538462,0.30996309963099633,0.5693326948536661,0.10296988487243652,1471,15,736
MAX_DEPTH_10,0.6983779636024092,0.853310502283105,0.24575586095392077,0.25982905982905985,0.25259659326963024,0.5856355779512112,0.6037859916687012,793,10,397
BASELINE,0.5825024383704751,0.7287997390737116,0.15180878552971577,0.4017094017094017,0.2203469292076887,0.5280986447440081,1.2077789306640625,6181,39,3091
BALANCED,0.5259481909833452,0.8643998695368559,0.1691275167785235,0.1076923076923077,0.13159268929503917,0.5290254606427436,0.9555361270904541,8097,50,4049
