iter	Passed	Remaining
412	1825	384
413	1827	379
414	1830	374
415	1832	370
416	1834	365
417	1836	360
418	1839	355
419	1841	350
420	1843	346
421	1846	341
422	1849	336
423	1852	332
424	1854	327
425	1857	322
426	1859	317
427	1861	313
428	1864	308
429	1866	303
430	1868	299
431	1871	294
432	1874	289
433	1876	285
434	1879	280
435	1881	276
436	1883	271
437	1886	266
438	1888	262
439	1891	257
440	1894	253
441	1896	248
442	1899	244
443	1901	239
444	1904	235
445	1906	230
446	1909	226
447	1911	221
448	1914	217
449	1916	212
450	1919	208
451	1921	204
452	1924	199
453	1926	195
454	1929	190
455	1931	186
456	1933	181
457	1935	177
458	1938	173
459	1940	168
460	1943	164
461	1945	160
462	1947	155
463	1950	151
464	1952	146
465	1955	142
466	1957	138
467	1959	134
468	1962	129
469	1964	125
470	1967	121
471	1969	116
472	1971	112
473	1974	108
474	1976	104
475	1979	99
476	1982	95
477	1984	91
478	1986	87
479	1989	82
480	1991	78
481	1993	74
482	1996	70
483	1999	66
484	2001	61
485	2003	57
486	2006	53
487	2008	49
488	2011	45
489	2013	41
490	2015	36
491	2017	32
492	2020	28
493	2022	24
494	2025	20
495	2028	16
496	2030	12
497	2032	8
498	2035	4
499	2037	0

497	2249	9
498	2252	4
499	2257	0
