iter	Logloss
343	0.3645429607
344	0.3642020115
345	0.3638743258
346	0.3634673827
347	0.3630519447
348	0.3627891339
349	0.3624246807
350	0.3620439297
351	0.3616084628
352	0.3612804167
353	0.360994463
354	0.3606118012
355	0.3602050818
356	0.3598833795
357	0.3595848879
358	0.3592196424
359	0.3588344756
360	0.3583810619
361	0.3581898471
362	0.3578408824
363	0.3575204271
364	0.3571723524
365	0.3566779323
366	0.356328453
367	0.3560849795
368	0.35571724
369	0.355268812
370	0.354898593
371	0.3545055449
372	0.3542775367
373	0.3539926386
374	0.3535939302
375	0.3532658119
376	0.3529718939
377	0.3527027325
378	0.3522788699
379	0.3519545115
380	0.351628044
381	0.3511024051
382	0.3506616612
383	0.3505126392
384	0.350248308
385	0.3498029917
386	0.349446077
387	0.3491897046
388	0.348909976
389	0.3485063748
390	0.3481683815
391	0.3478753803
392	0.3474508612
393	0.3470100799
394	0.346793524
395	0.3463227694
396	0.3459506679
397	0.3456068117
398	0.3453256047
399	0.3450164354
400	0.3447617991
401	0.3444785215
402	0.344020264
403	0.3437195112
404	0.3432718643
405	0.3430767226
406	0.3426423819
407	0.3421539616
408	0.3417355556
409	0.3415046895
410	0.3411199751
411	0.3406366167
412	0.3404065498
413	0.340062549
414	0.3398730411
415	0.3395728274
416	0.3392286576
417	0.338957621
418	0.3385638124
419	0.3381662065
420	0.337889713
421	0.3375654825
422	0.3372698107
423	0.3369972318
424	0.3365790508
425	0.3363119193
426	0.3359437964
427	0.3355237817
428	0.3352209536
429	0.3348874846
430	0.3345272175
431	0.3341695831
432	0.3339100148
433	0.3335730422
434	0.3333116485
435	0.3329612023
436	0.3325052147
437	0.3322658204
438	0.331904153
439	0.331603049
440	0.3313010739
441	0.3308019615
442	0.3305372129
443	0.3301389836
444	0.329915822
445	0.3295628811
446	0.3293625109
447	0.3290811115
448	0.3287260131
449	0.3284613098
450	0.328184702
451	0.3278352146
452	0.3275603589
453	0.327259205
454	0.3269590657
455	0.326526375
456	0.3262054655
457	0.3259338988
458	0.3254428779
459	0.3252451013
460	0.3249701163
461	0.3246370033
462	0.324330268
463	0.3240427672
464	0.32376335
465	0.3234276465
466	0.3231707973
467	0.3228597268
468	0.3225681194
469	0.322214435
470	0.3219284725
471	0.3217222107
472	0.3213886315
473	0.3209192642
474	0.3205313883
475	0.320168995
476	0.3199272194
477	0.3195896619
478	0.3193412524
479	0.3190454862
480	0.3187690732
481	0.3182184887
482	0.3180351772
483	0.3177287753
484	0.3173432407
485	0.3171218644
486	0.3168136573
487	0.3165388628
488	0.3161595525
489	0.3159676584
490	0.315695264
491	0.3154692686
492	0.315254794
493	0.315010507
494	0.314698354
495	0.3143765155
496	0.3138897467
497	0.3136761348
498	0.3133601595
499	0.3131718339

