config,alpha,l1_ratio,penalty,roc_auc,accuracy,precision,recall,f1,f1_macro,best_threshold,train_time
HIGH_REGULARIZATION,0.001,0.0,l2,0.7962554042403964,0.8863080684596577,0.3923327895595432,0.42528735632183906,0.40814594823928724,0.6726299772301336,0.7500000000000002,0.2025289535522461
ELASTIC_NET,0.0001,0.5,elasticnet,0.7841064154436554,0.8343113284433578,0.29254829806807725,0.5623342175066313,0.3848714069591528,0.6445666194202404,0.8500000000000003,0.2926828861236572
L1_PENALTY,0.0001,1.0,elasticnet,0.7668825783093454,0.8656886715566422,0.3383364602876798,0.47833775419982316,0.3963369963369963,0.6603876636889017,0.7000000000000002,0.3017909526824951
LOW_REGULARIZATION,1e-05,0.0,l2,0.7107829374794463,0.6652811735941321,0.16681594267801164,0.6587091069849691,0.2662140432374486,0.5247028617707594,0.8500000000000003,0.18078303337097168
BASELINE,0.0001,0.0,l2,0.6997102127770701,0.7231458842705787,0.18048505358150027,0.5658709106984969,0.273679709215309,0.551329105979552,0.8500000000000003,0.31046223640441895
