feature,coefficient,abs_coefficient
cluster_4_conversion,0.7539381634208754,0.7539381634208754
hour_sin,-0.3480211453455159,0.3480211453455159
distance_from_peak,-0.33468892122664495,0.33468892122664495
stop_lat_event,-0.3276077432816309,0.3276077432816309
device_lat,-0.3195861558160366,0.3195861558160366
time_day_of_month,0.3022650626601566,0.3022650626601566
stop_tier_x_time_period,0.27663869793592044,0.27663869793592044
stop_dist_mean,0.2725011024094973,0.2725011024094973
stop_tier,0.26077188842702276,0.26077188842702276
headway_x_weekend,-0.2553559994197771,0.2553559994197771
stop_rate_squared,-0.22980869217952798,0.22980869217952798
is_weekend,0.22523231220441292,0.22523231220441292
stop_rate_log,0.2210359046303448,0.2210359046303448
stop_rate_per_sample,0.2208852489279849,0.2208852489279849
cluster_1_conversion,-0.20672228405592863,0.20672228405592863
stop_total_samples,0.19305614820537628,0.19305614820537628
hour_weekday_interaction,0.17771185442035148,0.17771185442035148
user_engagement_score,0.17058479969283327,0.17058479969283327
is_holiday,-0.17021514094719106,0.17021514094719106
dist_x_weekend,-0.15862581384634925,0.15862581384634925
stop_hist_count,0.1553205698364513,0.1553205698364513
geo_distance,0.15504978124603394,0.15504978124603394
stop_tier_x_weekend,-0.15473715472812138,0.15473715472812138
time_month,-0.14768832765147866,0.14768832765147866
time_day_of_week,-0.14497339401852835,0.14497339401852835
stop_recency_score,0.14436426002431269,0.14436426002431269
combined_recency,-0.142613505706939,0.142613505706939
geo_cluster_x_hour,0.13694458212657973,0.13694458212657973
day_of_month,-0.11677173688547669,0.11677173688547669
stop_rate_x_count,0.11249220975186994,0.11249220975186994
user_recency_score,-0.11115256911873106,0.11115256911873106
stop_event_rate,0.11078707712089861,0.11078707712089861
stop_density,0.10974593296019808,0.10974593296019808
stop_lon_event,0.10776355370348384,0.10776355370348384
cluster_7_conversion,0.10768214282547883,0.10768214282547883
recency_ratio,0.10523354730893222,0.10523354730893222
stop_popularity_score,-0.10507392888769661,0.10507392888769661
is_lunch_time,0.09392865967605188,0.09392865967605188
hour,-0.09256138572459854,0.09256138572459854
stop_recency_days,-0.09233961128811226,0.09233961128811226
hour_cos,0.08685728238480989,0.08685728238480989
day_of_week,0.08371209023375396,0.08371209023375396
is_evening_peak,0.07936086686321032,0.07936086686321032
dist_device_stop,-0.07879938880741376,0.07879938880741376
day_cos,-0.07489737591773624,0.07489737591773624
geo_distance_x_stop_rate,-0.07349754386135582,0.07349754386135582
time_period,-0.07294392813465654,0.07294392813465654
user_hist_conversion_rate,0.06972540085938288,0.06972540085938288
is_night,-0.06810571007290812,0.06810571007290812
user_hist_count,0.06285907317424598,0.06285907317424598
cluster_0_conversion,-0.059200327537000746,0.059200327537000746
geo_cluster,0.05472612603111563,0.05472612603111563
month,0.05233563977154848,0.05233563977154848
month_sin,-0.05233563977154842,0.05233563977154842
month_cos,-0.05233563977154685,0.05233563977154685
cluster_5_conversion,0.05180862877857599,0.05180862877857599
time_hour,0.049606960427710844,0.049606960427710844
user_stop_recency_interaction,-0.04869954036302973,0.04869954036302973
stop_hist_conversion_rate,-0.046493469187986046,0.046493469187986046
user_stop_interaction,0.04519687276879188,0.04519687276879188
user_stop_conv_product,0.04519687276879188,0.04519687276879188
day_sin,-0.04336931306796801,0.04336931306796801
user_frequency,0.04243725415227031,0.04243725415227031
int64_field_0,-0.03787174193862635,0.03787174193862635
stop_headway_std,0.03764809056582952,0.03764809056582952
headway_x_hour,0.036719847125722425,0.036719847125722425
device_lon,-0.035583332018243305,0.035583332018243305
stop_dist_std,-0.031947614283023965,0.031947614283023965
stop_event_count,-0.03189825138736512,0.03189825138736512
stop_headway_mean,-0.02864880451364353,0.02864880451364353
cluster_6_conversion,-0.023522729416792173,0.023522729416792173
is_morning_peak,0.02276167852452755,0.02276167852452755
user_recency_days,0.01876067925807062,0.01876067925807062
geo_cluster_x_time_period,-0.01094292187386729,0.01094292187386729
is_peak_hour,-0.01080873592849665,0.01080873592849665
dist_x_peak,0.006226175442346735,0.006226175442346735
headway_avg_stop_hour,-0.00477378541764052,0.00477378541764052
Unnamed: 0,-0.0009647676401667758,0.0009647676401667758
ctm_service_route,0.0,0.0
direction,0.0,0.0
line_hist_conversion_rate,0.0,0.0
line_hist_count,0.0,0.0
y_pred,0.0,0.0
stop_line_interaction,0.0,0.0
y_pred_proba,0.0,0.0
cluster_3_conversion,0.0,0.0
cluster_2_conversion,0.0,0.0
user_line_interaction,0.0,0.0
