threshold,n_features,features_removed,removal_pct,roc_auc,roc_auc_diff,f1_macro,f1_macro_diff,accuracy,precision,recall,f1,train_time
0.01,39,9,18.75,0.7801530235639464,0.00015814778970291155,0.6651380936807223,0.0029478253182668723,0.8681291795791878,0.3674698795180723,0.44963144963144963,0.4044198895027624,0.160078763961792
0.02,38,10,20.833333333333336,0.7878724085589405,0.007877532784696939,0.6659723522695069,0.003782083907051481,0.8713097374000979,0.3749124036440084,0.4381654381654382,0.4040785498489426,0.1912062168121338
0.03,38,10,20.833333333333336,0.7878724085589405,0.007877532784696939,0.6659723522695069,0.003782083907051481,0.8713097374000979,0.3749124036440084,0.4381654381654382,0.4040785498489426,0.19507193565368652
0.05,30,18,37.5,0.7813949139463132,0.0014000381720696842,0.6691918374394337,0.007001569076978242,0.869515576578046,0.3735823882588392,0.45864045864045866,0.4117647058823529,0.15477418899536133
0.07,24,24,50.0,0.7898040072661937,0.009809131491950174,0.6772594937410942,0.015069225378638751,0.8722883705757625,0.3856858846918489,0.47665847665847666,0.42637362637362636,0.1414628028869629
0.1,20,28,58.333333333333336,0.791730265147528,0.011735389373284444,0.6729449218123913,0.01075465344993587,0.8666612298156907,0.3709476309226933,0.4873054873054873,0.42123893805309737,0.12203383445739746
