config,roc_auc,accuracy,precision,recall,f1,f1_macro,train_time,n_nodes,max_depth,n_leaves
MIN_SAMPLES_SPLIT_100,0.7402359065907105,0.9079944584793416,0.5369318181818182,0.16363636363636364,0.25082946250829463,0.6009085450158144,0.6937999725341797,849,19,425
OPTIMIZED,0.7161809193565221,0.706869855757477,0.1864406779661017,0.6285714285714286,0.2875816993464052,0.5515269600718072,0.10136890411376953,1411,15,706
MAX_DEPTH_10,0.6566496326032131,0.8454893651699128,0.18943839061190276,0.19567099567099566,0.19250425894378195,0.5535378823780819,0.6099510192871094,861,10,431
BASELINE,0.5593676055262958,0.7681525548040095,0.14614740368509213,0.3021645021645022,0.19700818515382446,0.5307627715616258,1.1654880046844482,6325,36,3163
BALANCED,0.5300255160456672,0.869611278624399,0.18349928876244664,0.11168831168831168,0.13885898815931108,0.534162345428624,0.9586918354034424,8367,49,4184
