config,cv_mean,cv_std,roc_auc,precision,recall,f1,time
GaussianNB,0.7017571363910413,0.01746085215761019,0.7218573179744439,0.3772290809327846,0.23666092943201378,0.29085140137493387,1.6075870990753174
MultinomialNB,0.7484939088647643,0.01236250560174843,0.7627452560661918,0.28256346233874324,0.5843373493975904,0.38092566619915846,1.1036128997802734
BernoulliNB,0.7650810121560259,0.008896316394575865,0.776710057182534,0.17743808049535603,0.7891566265060241,0.28973143759873615,0.2310631275177002
