experiment,roc_auc,accuracy,precision,recall,f1_score,f1_macro,best_threshold,best_iteration,train_time,iterations,learning_rate,depth,auto_class_weights,l2_leaf_reg,border_count,subsample,rsm,bootstrap_type,bagging_temperature,random_strength
HIGH_LEARNING_RATE,0.9803410846532755,0.9598949251568196,0.48601147776183645,0.8003544004725339,0.6047757197054229,0.7918256975615989,0.7,49,14.47235918045044,50,0.1,10,Balanced,1.0,128,0.85,0.85,,,
OPTIMAL_COMBO,0.9803353888419796,0.9684096107248805,0.576725025746653,0.6615475487300649,0.6162310866574966,0.7998789433027691,0.7,98,121.89388608932495,100,0.04,14,Balanced,1.5,200,0.8,0.8,,,0.5
HIGH_ITERATIONS,0.9800633877728638,0.9648316311510677,0.5295109612141653,0.74187832250443,0.6179581795817958,0.7997628007566795,0.7,138,50.95695400238037,150,0.03,12,Balanced,1.0,128,0.85,0.85,,,
BOOTSTRAP_BAYESIAN,0.9782230287200471,0.9606648701283996,0.49139280125195617,0.74187832250443,0.5911979289244528,0.7852681647619801,0.7,49,22.63390803337097,50,0.05,12,Balanced,1.0,128,,,Bayesian,1.0,
BASELINE,0.9780563062729117,0.9603251885232909,0.48846304262807977,0.7377436503248671,0.587764705882353,0.7834622168608605,0.7,49,18.73906421661377,50,0.05,12,Balanced,1.0,128,0.85,0.85,,,
MORE_REGULARIZATION,0.9778590740282718,0.9587626531397903,0.4761549925484352,0.754873006497342,0.5839616175462645,0.7811339043998224,0.7,49,18.63876509666443,50,0.05,12,Balanced,3.0,128,0.7,0.7,,,
MORE_BORDERS,0.9772038749098025,0.9601893158812473,0.487199684915321,0.7306556408741879,0.584593572778828,0.7818432031532034,0.7,49,24.439292907714844,50,0.05,12,Balanced,1.0,254,0.85,0.85,,,
DEEP_TREES,0.9769066147605552,0.9620009511084943,0.50314993700126,0.7076196101594802,0.5881197839960727,0.7841007257666133,0.6,49,370.732186794281,50,0.05,16,Balanced,2.0,128,0.85,0.85,,,
LESS_REGULARIZATION,0.9656756849835519,0.9601893158812473,0.4809830310122879,0.48552864737152984,0.48324514991181655,0.7312711688604727,0.7,14,11.011295080184937,50,0.05,12,Balanced,0.1,128,0.9,0.9,,,
